loan_id,property_id,borrower_id,servicer_id,origination_date,maturity_date,loan_amount,interest_rate,monthly_payment,loan_purpose,loan_status,last_updated_timestamp
LN0001,PR001,BR001,SV01,2020-03-15,2050-03-15,320000,3.75,1481.85,Purchase,Current,2024-01-01 00:00:00
LN0002,PR002,BR002,SV02,2019-07-22,2049-07-22,245000,4.10,1183.22,Refinance,Current,2024-01-01 00:00:00
LN0003,PR003,BR003,SV01,2021-01-10,2051-01-10,410000,3.25,1784.86,Purchase,Current,2024-01-01 00:00:00
LN0004,PR004,BR004,SV03,2018-05-30,2048-05-30,185000,4.50,937.54,Purchase,30_days_delinquent,2024-01-01 00:00:00
LN0005,PR005,BR005,SV02,2020-11-18,2050-11-18,560000,3.50,2514.21,Purchase,Current,2024-01-01 00:00:00
LN0006,PR006,BR006,SV04,2017-09-05,2047-09-05,130000,4.75,678.39,Refinance,60_days_delinquent,2024-01-01 00:00:00
LN0007,PR007,BR007,SV01,2022-04-20,2052-04-20,675000,3.00,2846.72,Purchase,Current,2024-01-01 00:00:00
LN0008,PR008,BR008,SV03,2019-02-14,2049-02-14,298000,4.25,1466.28,Refinance,Current,2024-01-01 00:00:00
LN0009,PR009,BR009,SV05,2021-08-07,2051-08-07,215000,3.60,977.29,Purchase,Current,2024-01-01 00:00:00
LN0010,PR010,BR010,SV02,2016-12-01,2046-12-01,155000,5.00,831.63,Purchase,90_days_delinquent,2024-01-01 00:00:00
LN0011,PR011,BR011,SV04,2022-09-15,2052-09-15,489000,3.10,2087.92,Purchase,Current,2024-01-01 00:00:00
LN0012,PR012,BR012,SV01,2020-06-28,2050-06-28,372000,3.85,1744.81,Refinance,Current,2024-01-01 00:00:00
LN0013,PR013,BR013,SV05,2018-03-11,2048-03-11,220000,4.40,1101.40,Purchase,Current,2024-01-01 00:00:00
LN0014,PR014,BR014,SV03,2021-11-02,2051-11-02,780000,3.20,3369.05,Purchase,Current,2024-01-01 00:00:00
LN0015,PR015,BR015,SV02,2019-10-19,2049-10-19,163000,4.60,835.97,Refinance,30_days_delinquent,2024-01-01 00:00:00
LN0016,PR016,BR016,SV04,2023-01-05,2053-01-05,525000,6.50,3319.94,Purchase,Current,2024-01-02 00:00:00
LN0017,PR017,BR017,SV01,2022-07-14,2052-07-14,290000,5.75,1692.86,Refinance,Current,2024-01-02 00:00:00
LN0018,PR018,BR018,SV05,2021-04-30,2051-04-30,440000,3.40,1952.60,Purchase,Current,2024-01-02 00:00:00
LN0019,PR019,BR019,SV02,2020-08-22,2050-08-22,195000,3.95,926.13,Purchase,Current,2024-01-02 00:00:00
LN0020,PR020,BR020,SV03,2017-06-17,2047-06-17,310000,4.85,1633.69,Refinance,Foreclosure,2024-01-02 00:00:00
LN0021,PR001,BR001,SV01,2023-05-10,2053-05-10,355000,7.00,2362.84,Purchase,Current,2024-01-03 00:00:00
LN0022,PR021,BR021,SV04,2022-02-28,2052-02-28,610000,3.80,2845.27,Purchase,Current,2024-01-03 00:00:00
LN0023,PR022,BR022,SV05,2020-09-14,2050-09-14,175000,4.15,850.56,Purchase,Current,2024-01-03 00:00:00
LN0024,PR023,BR023,SV01,2019-04-03,2049-04-03,430000,4.30,2131.45,Refinance,30_days_delinquent,2024-01-03 00:00:00
LN0025,PR024,BR024,SV02,2021-12-20,2051-12-20,265000,3.55,1196.78,Purchase,Current,2024-01-03 00:00:00
LN0026,PR025,BR025,SV03,2018-07-08,2048-07-08,340000,4.70,1762.22,Purchase,Current,2024-01-04 00:00:00
LN0027,PR026,BR026,SV04,2022-10-31,2052-10-31,495000,6.25,3048.89,Purchase,Current,2024-01-04 00:00:00
LN0028,PR027,BR027,SV05,2020-05-16,2050-05-16,228000,3.65,1041.54,Refinance,Current,2024-01-04 00:00:00
LN0029,PR028,BR028,SV01,2021-03-09,2051-03-09,385000,3.30,1689.58,Purchase,Current,2024-01-04 00:00:00
LN0030,PR029,BR029,SV02,2019-11-25,2049-11-25,142000,4.55,724.82,Purchase,60_days_delinquent,2024-01-04 00:00:00
